chromo,strand,start,end,count,alt3,alt5,alt3+5,skip,constitLevel,inclLevel,3usageLevel,5usageLevel,OnlyESTexonCount,genename
chr1,-,918021,918115,1,1,0,0,0,0.500,1.000,0.500,1.000,0,RP11-54O7.3
chr1,-,946401,946545,67,5,0,0,0,0.931,1.000,0.931,1.000,4,NOC2L
chr1,-,948489,948603,54,2,0,0,0,0.964,1.000,0.964,1.000,1,NOC2L
chr1,-,952411,952600,53,1,0,0,0,0.981,1.000,0.981,1.000,7,NOC2L
chr1,+,962354,962471,7,1,0,0,0,0.875,1.000,0.875,1.000,0,KLHL17
chr1,+,962703,962917,8,1,0,0,0,0.889,1.000,0.889,1.000,0,KLHL17
chr1,+,963108,963253,4,1,0,0,0,0.800,1.000,0.800,1.000,0,KLHL17
chr1,+,971076,971208,4,4,0,0,0,0.500,1.000,0.500,1.000,0,PLEKHN1
chr1,-,978880,980657,1,1,0,0,0,0.500,1.000,0.500,1.000,0,PERM1
chr1,+,1047775,1047895,7,1,0,0,0,0.875,1.000,0.875,1.000,1,AGRN
chr1,+,1049565,1049795,23,1,0,0,0,0.958,1.000,0.958,1.000,1,AGRN
chr1,+,1053752,1053977,49,1,0,0,0,0.980,1.000,0.980,1.000,0,AGRN
chr1,+,1060276,1060393,3,3,0,0,0,0.500,1.000,0.500,1.000,0,onlyEST
chr1,-,1090352,1090428,95,5,0,0,0,0.950,1.000,0.950,1.000,1,C1orf159
chr1,-,1091471,1091565,100,4,0,0,0,0.962,1.000,0.962,1.000,0,C1orf159
chr1,-,1218457,1218633,90,1,0,0,0,0.989,1.000,0.989,1.000,4,SDF4
chr1,-,1218768,1218927,92,2,0,0,0,0.979,1.000,0.979,1.000,7,SDF4
chr1,+,1280410,1280666,1,1,0,0,0,0.500,1.000,0.500,1.000,1,onlyEST
chr1,+,1281225,1281297,3,1,0,0,0,0.750,1.000,0.750,1.000,0,SCNN1D
chr1,-,1293822,1293933,17,1,0,0,0,0.944,1.000,0.944,1.000,1,ACAP3
chr1,-,1296210,1296280,13,1,0,0,0,0.929,1.000,0.929,1.000,0,ACAP3
chr1,+,1309680,1309851,17,1,0,0,0,0.944,1.000,0.944,1.000,0,PUSL1
chr1,-,1312017,1312147,42,1,0,0,0,0.977,1.000,0.977,1.000,1,CPSF3L
chr1,-,1312225,1312368,42,4,0,0,0,0.913,1.000,0.913,1.000,3,CPSF3L
chr1,-,1313731,1313921,83,1,0,0,0,0.988,1.000,0.988,1.000,3,CPSF3L
chr1,-,1338268,1338436,48,1,0,0,0,0.980,1.000,0.980,1.000,3,DVL1
chr1,-,1340037,1340177,40,3,0,0,0,0.930,1.000,0.930,1.000,2,DVL1
chr1,-,1353847,1353928,27,1,0,0,0,0.964,1.000,0.964,1.000,0,MXRA8
chr1,-,1354681,1355152,15,1,0,0,0,0.938,1.000,0.938,1.000,6,MXRA8
