chromo	strand	start	end	count	alt3	alt5	alt3+5	skip	constitLevel	inclLevel	3usageLevel	5usageLevel	alt3singleCount	alt3singleLoc	alt5singleCount	alt5singleLoc	alt3and5singleCount	alt3and5singleLoc	OnlyESTexonCount	OnlyESTexons	genename
chr1	-	874111	875155	1	0	1	0	0	0.500	1.000	1.000	0.500	0	#	1	875039	0	#	0	#	FAM41C
chr1	-	923274	923461	1	0	1	0	0	0.500	1.000	1.000	0.500	0	#	1	923396	0	#	0	#	onlyEST
chr1	-	945056	945146	45	0	29	0	0	0.608	1.000	1.000	0.608	0	#	29	945041	0	#	2	chr1-945045-945146	NOC2L
chr1	+	964106	964167	6	0	6	0	0	0.500	1.000	1.000	0.500	0	#	6	964180	0	#	0	#	KLHL17
chr1	-	1298012	1298113	14	0	2	0	0	0.875	1.000	1.000	0.875	0	#	2	1298024	0	#	1	chr1-1298016-1298113	ACAP3
chr1	-	1339361	1339439	39	0	14	0	0	0.736	1.000	1.000	0.736	0	#	14	1339286	0	#	1	chr1-1339361-1339425	DVL1
chr1	-	1420796	1421005	15	0	3	0	0	0.833	1.000	1.000	0.833	0	#	3	1420815	0	#	1	chr1-1420799-1421005	ANKRD65
chr1	-	1985385	1985490	2	0	1	0	0	0.667	1.000	1.000	0.667	0	#	1	1985338	0	#	0	#	CFAP74
chr1	-	2201049	2201225	2	0	1	0	0	0.667	1.000	1.000	0.667	0	#	1	2198753	0	#	0	#	FAAP20
chr1	-	2203563	2203630	2	0	1	0	0	0.667	1.000	1.000	0.667	0	#	1	2203435	0	#	0	#	FAAP20
chr1	+	2502111	2502409	7	0	1	0	0	0.875	1.000	1.000	0.875	0	#	1	2502910	0	#	0	#	PLCH2
chr1	-	2609338	2609419	8	0	1	0	0	0.889	1.000	1.000	0.889	0	#	1	2609393	0	#	0	#	MMEL1
chr1	-	3740232	3740387	6	0	1	0	0	0.857	1.000	1.000	0.857	0	#	1	3739823	0	#	0	#	TP73-AS1
chr1	-	6125099	6125233	10	0	2	0	0	0.833	1.000	1.000	0.833	0	#	2	6125137	0	#	0	#	CHD5
chr1	+	6212681	6212733	3	0	1	0	0	0.750	1.000	1.000	0.750	0	#	1	6212903	0	#	0	#	RNF207
chr1	+	7810437	7810588	7	0	4	0	0	0.636	1.000	1.000	0.636	0	#	4	7810567	0	#	0	#	PER3
chr1	-	8360111	8361490	5	0	1	0	0	0.833	1.000	1.000	0.833	0	#	1	8361459	0	#	4	chr1-8360114-8361490,chr1-8360542-8361490,chr1-8360111-8360454,chr1-8360111-8360237	RERE
chr1	-	10949701	10949814	4	0	3	0	0	0.571	1.000	1.000	0.571	0	#	3	10949623	0	#	0	#	C1orf127
chr1	-	10957615	10957753	7	0	2	0	0	0.778	1.000	1.000	0.778	0	#	2	10957584	0	#	0	#	C1orf127
chr1	+	11022123	11022177	2	0	3	0	0	0.400	1.000	1.000	0.400	0	#	0,0,2,1	11022250,11022268,11022241,11022238	0	#	2	chr1+11022123-11022168,chr1+11022123-11022284	TARDBP
chr1	+	11534380	11534540	8	0	1	0	0	0.889	1.000	1.000	0.889	0	#	1	11534536	0	#	0	#	PTCHD2
chr1	+	11748414	11748610	80	0	24	0	0	0.769	1.000	1.000	0.769	0	#	24	11748589	0	#	0	#	AGTRAP
chr1	+	11785147	11785289	3	0	1	0	0	0.750	1.000	1.000	0.750	0	#	1	11785382	0	#	0	#	C1orf167
chr1	+	11826155	11826214	14	0	2	0	0	0.875	1.000	1.000	0.875	0	#	2	11826224	0	#	0	#	CLCN6
chr1	-	11922635	11923489	2	0	1	0	0	0.667	1.000	1.000	0.667	0	#	1	11923190	0	#	1	chr1-11923387-11923489	KIAA2013
chr1	+	13614299	13614411	47	0	17	0	0	0.734	1.000	1.000	0.734	0	#	17	13614405	0	#	2	chr1+13614296-13614411,chr1+13614387-13614411	PDPN
chr1	+	15341735	15341893	3	0	1	0	0	0.750	1.000	1.000	0.750	0	#	1	15341888	0	#	0	#	FHAD1
chr1	+	15566081	15566180	17	0	2	0	0	0.895	1.000	1.000	0.895	0	#	0,2	15566299,15566410	0	#	2	chr1+15566081-15566596	DNAJC16
chr1	+	15758173	15758329	19	0	15	0	0	0.559	1.000	1.000	0.559	0	#	15	15758355	0	#	1	chr1+15758173-15758311	FBLIM1
chr1	+	16053638	16053690	6	0	5	0	0	0.545	1.000	1.000	0.545	0	#	5	16053772	0	#	0	#	CLCNKB
chr1	-	16133480	16133606	12	0	2	0	0	0.857	1.000	1.000	0.857	0	#	2	16133475	0	#	2	chr1-16133480-16133619,chr1-16133486-16133606	EPHA2
chr1	+	16458841	16459049	1	0	1	0	0	0.500	1.000	1.000	0.500	0	#	1	16459062	0	#	1	chr1+16458841-16458919	NECAP2
chr1	+	16646786	16647112	1	0	1	0	0	0.500	1.000	1.000	0.500	0	#	1	16647116	0	#	1	chr1+16646595-16647116	onlyEST
chr1	+	16646979	16647112	5	0	5	0	0	0.500	1.000	1.000	0.500	0	#	5	16647116	0	#	1	chr1+16646595-16647116	onlyEST
chr1	-	20655439	20655534	340	0	49	0	0	0.874	1.000	1.000	0.874	0	#	48,1	20655444,20655446	0	#	48	chr1-20655439-20655531,chr1-20655439-20655537,chr1-20655448-20655537,chr1-20655439-20655538,chr1-20655442-20655534,chr1-20655442-20655537,chr1-20655439-20655586,chr1-20655442-20655538,chr1-20655485-20655511,chr1-20655445-20655558,chr1-20655422-20655534,chr1-20655439-20655513,chr1-20655442-20655586,chr1-20655439-20655528,chr1-20655445-20655531	DDOST
chr1	-	20724395	20724635	3	0	2	0	0	0.600	1.000	1.000	0.600	0	#	2	20724348	0	#	0	#	SH2D5
chr1	-	21878432	21878491	5	0	1	0	0	0.833	1.000	1.000	0.833	0	#	1	21878436	0	#	0	#	HSPG2
chr1	+	22491399	22491533	6	0	1	0	0	0.857	1.000	1.000	0.857	0	#	1	22491504	0	#	0	#	ZBTB40
chr1	+	22660811	22661056	3	0	1	0	0	0.750	1.000	1.000	0.750	0	#	1	22661113	0	#	0	#	onlyEST
chr1	-	23091189	23094380	1	0	1	0	0	0.500	1.000	1.000	0.500	0	#	1	23094329	0	#	0	#	LUZP1
chr1	+	24595423	24595512	5	0	2	0	0	0.714	1.000	1.000	0.714	0	#	2	24595517	0	#	0	#	NCMAP
chr1	+	24605605	24607030	1	0	1	0	0	0.500	1.000	1.000	0.500	0	#	1	24607236	0	#	0	#	onlyEST
chr1	+	24654854	24655129	21	0	9	0	0	0.700	1.000	1.000	0.700	0	#	9	24655123	0	#	0	#	SRRM1
chr1	+	26034835	26035004	7	0	2	0	0	0.778	1.000	1.000	0.778	0	#	2	26034965	0	#	0	#	EXTL1
chr1	+	26183345	26183414	20	0	8	0	0	0.714	1.000	1.000	0.714	0	#	8	26183435	0	#	0	#	CNKSR1
chr1	+	26200829	26201041	3	0	1	0	0	0.750	1.000	1.000	0.750	0	#	1	26201075	0	#	1	chr1+26200829-26201045	CATSPER4
chr1	+	26426241	26428587	2	0	1	0	0	0.667	1.000	1.000	0.667	0	#	1	26428598	0	#	1	chr1+26426241-26426364	LIN28A
chr1	+	26475112	26475483	2	0	1	0	0	0.667	1.000	1.000	0.667	0	#	1	26475465	0	#	52	chr1+26475137-26475236,chr1+26475112-26475288,chr1+26475112-26475346,chr1+26475112-26475457,chr1+26475112-26475238,chr1+26475112-26475377,chr1+26475112-26475240,chr1+26475112-26475478,chr1+26475112-26475237,chr1+26475112-26475474,chr1+26475112-26475232,chr1+26475112-26475448,chr1+26475112-26475569,chr1+26475112-26475359,chr1+26475112-26475360,chr1+26475112-26475437,chr1+26475112-26475619,chr1+26475112-26475379,chr1+26475112-26475724,chr1+26475112-26475588,chr1+26475112-26475492,chr1+26475112-26475489,chr1+26475112-26475371,chr1+26475112-26475333,chr1+26475112-26475707,chr1+26475112-26475508,chr1+26475112-26475426,chr1+26475112-26475260,chr1+26475112-26475541,chr1+26475112-26475418,chr1+26475112-26475423,chr1+26475112-26475638,chr1+26475112-26475566,chr1+26475112-26475571,chr1+26475112-26475536,chr1+26475112-26475626,chr1+26475112-26475265,chr1+26475112-26475376,chr1+26475112-26475450,chr1+26475112-26475278,chr1+26475439-26475462,chr1+26475112-26475205	onlyEST
chr1	-	27357399	27357576	16	0	3	0	0	0.842	1.000	1.000	0.842	0	#	3	27357467	0	#	1	chr1-27357395-27357576	MAP3K6
chr1	-	28201255	28201370	5	0	1	0	0	0.833	1.000	1.000	0.833	0	#	1	28201149	0	#	3	chr1-28201341-28201370,chr1-28201319-28201370,chr1-28201228-28201370	DNAJC8
chr1	+	28508829	28508905	14	0	5	0	0	0.737	1.000	1.000	0.737	0	#	5	28508901	0	#	1	chr1+28508829-28509441	RCC1
chr1	-	28579911	28579981	10	0	3	0	0	0.769	1.000	1.000	0.769	0	#	3	28579941	0	#	0	#	SNHG12
chr1	+	29311455	29311553	12	0	3	0	0	0.800	1.000	1.000	0.800	0	#	3	29311544	0	#	0	#	PTPRU
chr1	-	30950126	30950261	22	0	22	0	0	0.500	1.000	1.000	0.500	0	#	22	30950132	0	#	0	#	PUM1
chr1	-	32335034	32335097	1	0	1	0	0	0.500	1.000	1.000	0.500	0	#	1	32335054	0	#	7	chr1-32334597-32335097,chr1-32334382-32335097,chr1-32334925-32335097,chr1-32334960-32335097,chr1-32334414-32335097,chr1-32334989-32335097,chr1-32334941-32335097	onlyEST
chr1	-	33354837	33355253	6	0	2	0	0	0.750	1.000	1.000	0.750	0	#	2	33354840	0	#	0	#	PHC2
chr1	+	33491024	33491702	3	0	1	0	0	0.750	1.000	1.000	0.750	0	#	1	33491721	0	#	0	#	ZSCAN20
chr1	+	36306597	36306674	1	0	1	0	0	0.500	1.000	1.000	0.500	0	#	1	36306755	0	#	0	#	SH3D21
chr1	-	36391414	36391604	1	0	1	0	0	0.500	1.000	1.000	0.500	0	#	1	36391485	0	#	0	#	onlyEST
chr1	-	37629567	37629949	4	0	2	0	0	0.667	1.000	1.000	0.667	0	#	2	37629888	0	#	0	#	RSPO1
chr1	-	37718377	37718486	3	0	2	0	0	0.600	1.000	1.000	0.600	0	#	2	37718375	0	#	0	#	EPHA10
chr1	-	37719507	37719607	3	0	2	0	0	0.600	1.000	1.000	0.600	0	#	2	37719413	0	#	0	#	EPHA10
chr1	+	39034391	39034556	5	0	2	0	0	0.714	1.000	1.000	0.714	0	#	2	39034584	0	#	2	chr1+39034391-39034612,chr1+39034391-39034615	onlyEST
chr1	+	39297619	39297745	7	0	1	0	0	0.875	1.000	1.000	0.875	0	#	1	39297749	0	#	0	#	MACF1
chr1	-	39564422	39564542	39	0	29	0	0	0.574	1.000	1.000	0.574	0	#	29	39564470	0	#	4	chr1-39564502-39564541,chr1-39564426-39564545,chr1-39564423-39564545,chr1-39564422-39564551	PABPC4
chr1	-	42747271	42747412	34	0	6	0	0	0.850	1.000	1.000	0.850	0	#	6	42747252	0	#	1	chr1-42747328-42747412	P3H1
chr1	+	42775208	42775522	2	0	1	0	0	0.667	1.000	1.000	0.667	0	#	1	42775479	0	#	0	#	C1orf50
chr1	+	42835731	42835764	18	0	3	0	0	0.857	1.000	1.000	0.857	0	#	3	42835760	0	#	0	#	ERMAP
chr1	+	42970248	42970394	8	0	1	0	0	0.889	1.000	1.000	0.889	0	#	1	42970379	0	#	0	#	SLC2A1-AS1
chr1	+	43152827	43152931	1	0	1	0	0	0.500	1.000	1.000	0.500	0	#	1	43152979	0	#	0	#	FAM183A
chr1	-	43451427	43451544	16	0	11	0	0	0.593	1.000	1.000	0.593	0	#	11	43451409	0	#	0	#	HYI
chr1	-	43453385	43453497	13	0	9	0	0	0.591	1.000	1.000	0.591	0	#	9	43453412	0	#	3	chr1-43453385-43453505,chr1-43453419-43453497	HYI
chr1	+	43671504	43671875	3	0	1	0	0	0.750	1.000	1.000	0.750	0	#	1	43671524	0	#	1	chr1+43671812-43671875	KDM4A
chr1	+	44635544	44635588	82	0	43	0	0	0.656	1.000	1.000	0.656	0	#	43	44635666	0	#	0	#	RNF220
chr1	+	45508795	45508912	1	0	1	0	0	0.500	1.000	1.000	0.500	0	#	1	45509347	0	#	3	chr1+45508795-45509124,chr1+45508795-45509084,chr1+45508795-45509481	MMACHC
chr1	-	46935522	46935647	22	0	4	0	0	0.846	1.000	1.000	0.846	0	#	4	46935549	0	#	0	#	CYP4A11
chr1	-	52353517	52353647	13	0	2	0	0	0.867	1.000	1.000	0.867	0	#	2	52353602	0	#	0	#	CC2D1B
chr1	-	52361512	52361616	8	0	2	0	0	0.800	1.000	1.000	0.800	0	#	2	52361477	0	#	2	chr1-52361531-52361616,chr1-52361520-52361616	CC2D1B
chr1	+	52405679	52405839	91	0	14	0	0	0.867	1.000	1.000	0.867	0	#	14	52405713	0	#	0	#	PRPF38A
