chromo	strand	start	end	count	alt3	alt5	alt3+5	skip	constitLevel	inclLevel	3usageLevel	5usageLevel	OnlyESTexonCount	genename
chr1	-	14969	15038	16	0	0	0	1	0.941	0.941	1	1	2	onlyEST
chr1	-	15795	15947	12	0	0	0	2	0.857	0.857	1	1	0	onlyEST
chr1	-	16606	16765	9	0	0	0	2	0.818	0.818	1	1	9	onlyEST
chr1	-	35276	35481	10	0	0	0	108	0.085	0.085	1	1	0	FAM138A
chr1	-	139789	139847	12	0	0	0	108	0.1	0.1	1	1	2	onlyEST
chr1	-	186316	186469	37	0	0	0	115	0.243	0.243	1	1	2	FO538757.2
chr1	-	187128	187287	18	0	0	0	115	0.135	0.135	1	1	22	FO538757.2
chr1	-	187379	187577	68	0	0	0	115	0.372	0.372	1	1	1	FO538757.2
chr1	-	187754	188266	7	0	0	0	115	0.057	0.057	1	1	26	FO538757.2
chr1	-	494991	495049	18	0	0	0	11	0.621	0.621	1	1	0	RP4-669L17.10
chr1	-	497108	497299	10	0	0	0	6	0.625	0.625	1	1	1	RP4-669L17.10
chr1	-	498398	498456	10	0	0	0	9	0.526	0.526	1	1	0	RP4-669L17.10
chr1	-	729897	729955	9	0	0	0	13	0.409	0.409	1	1	1	RP5-857K21.4
chr1	-	732016	732207	5	0	0	0	13	0.278	0.278	1	1	0	RP5-857K21.4
chr1	-	733306	733364	21	0	0	0	8	0.724	0.724	1	1	0	RP5-857K21.4
chr1	-	736712	736770	14	0	0	0	4	0.778	0.778	1	1	0	RP5-857K21.4
chr1	-	738833	739024	13	0	0	0	3	0.812	0.812	1	1	2	RP5-857K21.4
chr1	-	740128	740186	23	0	0	0	2	0.92	0.92	1	1	1	RP5-857K21.4
chr1	-	743285	743350	10	0	0	0	1	0.909	0.909	1	1	0	RP5-857K21.4
chr1	+	829002	829104	72	0	0	0	1	0.986	0.986	1	1	2	LINC01128
chr1	+	847653	847806	28	0	0	0	3	0.903	0.903	1	1	0	LINC01128
chr1	+	849483	849602	6	0	0	0	21	0.222	0.222	1	1	0	LINC01128
chr1	+	930154	930336	52	0	0	0	2	0.963	0.963	1	1	0	SAMD11
chr1	+	931038	931089	47	0	0	0	5	0.904	0.904	1	1	1	SAMD11
chr1	+	936849	936934	4	0	0	0	52	0.071	0.071	1	1	0	SAMD11
chr1	+	939039	939129	52	0	0	0	2	0.963	0.963	1	1	0	SAMD11
chr1	+	942558	943058	37	0	0	0	3	0.925	0.925	1	1	2	SAMD11
chr1	+	942558	943377	7	0	0	0	3	0.7	0.7	1	1	4	SAMD11
chr1	+	943252	943377	43	0	0	0	4	0.915	0.915	1	1	2	SAMD11
chr1	-	948130	948232	78	0	0	0	1	0.987	0.987	1	1	3	NOC2L
chr1	+	973185	973326	6	0	0	0	2	0.75	0.75	1	1	0	PLEKHN1
chr1	+	973499	973640	7	0	0	0	1	0.875	0.875	1	1	0	PLEKHN1
chr1	-	999691	999787	16	0	0	0	2	0.889	0.889	1	1	0	HES4
chr1	+	1051031	1051043	9	0	0	0	61	0.129	0.129	1	1	0	AGRN
chr1	+	1061019	1061117	5	0	0	0	4	0.556	0.556	1	1	0	onlyEST
chr1	+	1063078	1063201	6	0	0	0	1	0.857	0.857	1	1	0	onlyEST
chr1	-	1083914	1084086	4	0	0	0	26	0.133	0.133	1	1	0	C1orf159
chr1	-	1105955	1106049	7	0	0	0	60	0.104	0.104	1	1	0	C1orf159
chr1	+	1174423	1174489	6	0	0	0	1	0.857	0.857	1	1	0	TTLL10
chr1	-	1263345	1263386	234	0	0	0	4	0.983	0.983	1	1	0	UBE2J2
chr1	+	1285570	1285664	6	0	0	0	20	0.231	0.231	1	1	3	SCNN1D
chr1	-	1294401	1294628	12	0	0	0	1	0.923	0.923	1	1	0	ACAP3
chr1	-	1294717	1294816	14	0	0	0	4	0.778	0.778	1	1	0	ACAP3
chr1	-	1296014	1296109	18	0	0	0	1	0.947	0.947	1	1	0	ACAP3
chr1	-	1304085	1304143	30	0	0	0	1	0.968	0.968	1	1	2	ACAP3
chr1	+	1308914	1308972	38	0	0	0	6	0.864	0.864	1	1	2	PUSL1
chr1	-	1312439	1312501	57	0	0	0	2	0.966	0.966	1	1	2	CPSF3L
chr1	-	1315403	1315438	180	0	0	0	6	0.968	0.968	1	1	5	CPSF3L
chr1	+	1326835	1327032	24	0	0	0	8	0.75	0.75	1	1	0	CPTP
chr1	-	1342362	1342484	43	0	0	0	1	0.977	0.977	1	1	0	DVL1
chr1	-	1342688	1342758	34	0	0	0	1	0.971	0.971	1	1	1	DVL1
chr1	-	1355449	1355752	289	0	0	0	10	0.967	0.967	1	1	3	MXRA8
chr1	-	1374704	1374790	142	0	0	0	2	0.986	0.986	1	1	1	AURKAIP1
chr1	-	1388491	1388510	5	0	0	0	70	0.067	0.067	1	1	0	CCNL2
chr1	-	1388625	1388743	6	0	0	0	66	0.083	0.083	1	1	1	CCNL2
chr1	+	1478643	1478745	23	0	0	0	1	0.958	0.958	1	1	0	ATAD3B
chr1	+	1480866	1480936	33	0	0	0	1	0.971	0.971	1	1	5	ATAD3B
chr1	+	1482137	1482303	33	0	0	0	1	0.971	0.971	1	1	1	ATAD3B
chr1	+	1482544	1482614	36	0	0	0	1	0.973	0.973	1	1	0	ATAD3B
chr1	+	1485015	1485171	30	0	0	0	1	0.968	0.968	1	1	0	ATAD3B
chr1	+	1485781	1485838	33	0	0	0	1	0.971	0.971	1	1	2	ATAD3B
chr1	+	1486109	1486235	29	0	0	0	1	0.967	0.967	1	1	1	ATAD3B
chr1	+	1486543	1486668	26	0	0	0	1	0.963	0.963	1	1	0	ATAD3B
chr1	+	1487862	1487914	28	0	0	0	2	0.933	0.933	1	1	1	ATAD3B
chr1	+	1489203	1489274	29	0	0	0	1	0.967	0.967	1	1	0	ATAD3B
chr1	+	1490256	1490424	24	0	0	0	1	0.96	0.96	1	1	2	ATAD3B
chr1	+	1490562	1490671	34	0	0	0	1	0.971	0.971	1	1	0	ATAD3B
chr1	+	1516011	1516088	121	0	0	0	3	0.976	0.976	1	1	4	ATAD3A
chr1	+	1518920	1518990	83	0	0	0	2	0.976	0.976	1	1	11	ATAD3A
chr1	+	1520140	1520306	68	0	0	0	2	0.971	0.971	1	1	3	ATAD3A
chr1	+	1520547	1520617	66	0	0	0	2	0.971	0.971	1	1	1	ATAD3A
chr1	+	1522743	1522899	50	0	0	0	2	0.962	0.962	1	1	1	ATAD3A
chr1	+	1523510	1523567	60	0	0	0	2	0.968	0.968	1	1	0	ATAD3A
chr1	+	1523838	1523964	51	0	0	0	2	0.962	0.962	1	1	1	ATAD3A
chr1	+	1524272	1524397	51	0	0	0	2	0.962	0.962	1	1	0	ATAD3A
chr1	+	1525239	1525291	59	0	0	0	2	0.967	0.967	1	1	1	ATAD3A
chr1	+	1526460	1526531	58	0	0	0	2	0.967	0.967	1	1	1	ATAD3A
chr1	+	1629384	1629566	27	0	0	0	2	0.931	0.931	1	1	3	MIB2
chr1	-	1649498	1649637	29	0	0	0	1	0.967	0.967	1	1	1	CDK11B
chr1	-	1655368	1655484	62	0	0	0	1	0.984	0.984	1	1	0	CDK11B
chr1	-	1657255	1657302	10	0	0	0	54	0.156	0.156	1	1	0	CDK11B
chr1	-	1657374	1657498	53	0	0	0	1	0.981	0.981	1	1	0	CDK11B
chr1	-	1668326	1668472	21	0	0	0	1	0.955	0.955	1	1	0	SLC35E2B
chr1	-	1669663	1669736	20	0	0	0	2	0.909	0.909	1	1	1	SLC35E2B
chr1	-	1670097	1670151	18	0	0	0	2	0.9	0.9	1	1	0	SLC35E2B
chr1	-	1671508	1671629	16	0	0	0	3	0.842	0.842	1	1	0	SLC35E2B
chr1	-	1675462	1675590	16	0	0	0	2	0.889	0.889	1	1	0	SLC35E2B
chr1	-	1676063	1676199	20	0	0	0	2	0.909	0.909	1	1	0	SLC35E2B
chr1	-	1676377	1676846	12	0	0	0	2	0.857	0.857	1	1	1	SLC35E2B
chr1	-	1703079	1703269	26	0	0	0	5	0.839	0.839	1	1	0	"RP1-283E3.8,CDK11A"
chr1	-	1703475	1703624	28	0	0	0	5	0.848	0.848	1	1	0	"RP1-283E3.8,CDK11A"
chr1	-	1704038	1704146	25	0	0	0	14	0.641	0.641	1	1	1	CDK11A
chr1	-	1704222	1704344	26	0	0	0	5	0.839	0.839	1	1	2	"RP1-283E3.8,CDK11A"
chr1	-	1704549	1704655	26	0	0	0	5	0.839	0.839	1	1	0	"RP1-283E3.8,CDK11A"
chr1	-	1704903	1705025	28	0	0	0	5	0.848	0.848	1	1	0	"RP1-283E3.8,CDK11A"
chr1	-	1705641	1705732	31	0	0	0	5	0.861	0.861	1	1	0	"RP1-283E3.8,CDK11A"
chr1	-	1708793	1708952	25	0	0	0	5	0.833	0.833	1	1	1	"RP1-283E3.8,CDK11A"
chr1	-	1709037	1709133	24	0	0	0	5	0.828	0.828	1	1	0	"RP1-283E3.8,CDK11A"
chr1	-	1716345	1716478	18	0	0	0	5	0.783	0.783	1	1	0	"RP1-283E3.8,CDK11A"
chr1	-	1721595	1721711	37	0	0	0	4	0.902	0.902	1	1	0	"RP1-283E3.8,CDK11A"
chr1	-	1734689	1734835	9	0	0	0	4	0.692	0.692	1	1	0	"SLC35E2,RP1-283E3.8"
chr1	-	1738320	1738448	8	0	0	0	3	0.727	0.727	1	1	0	SLC35E2
