chromo,strand,start,end,count,alt3,alt5,alt3+5,skip,constitLevel,inclLevel,3usageLevel,5usageLevel,genename
chr1,-,874111,875155,1,0,1,0,0,0.500,1.000,1.000,0.500,FAM41C
chr1,-,923274,923461,1,0,1,0,0,0.500,1.000,1.000,0.500,onlyEST
chr1,-,945056,945146,45,0,29,0,0,0.608,1.000,1.000,0.608,NOC2L
chr1,-,954003,954082,81,0,1,0,0,0.988,1.000,1.000,0.988,NOC2L
chr1,-,956094,956215,123,0,1,0,0,0.992,1.000,1.000,0.992,NOC2L
chr1,+,961628,961750,10,0,1,0,0,0.909,1.000,1.000,0.909,KLHL17
chr1,+,964106,964167,6,0,6,0,0,0.500,1.000,1.000,0.500,KLHL17
chr1,-,999525,999613,19,0,1,0,0,0.950,1.000,1.000,0.950,HES4
chr1,+,1049235,1049451,14,0,1,0,0,0.933,1.000,1.000,0.933,AGRN
chr1,+,1049902,1050037,22,0,1,0,0,0.957,1.000,1.000,0.957,AGRN
chr1,-,1087501,1087597,93,0,2,0,0,0.979,1.000,1.000,0.979,C1orf159
chr1,-,1298012,1298113,14,0,2,0,0,0.875,1.000,1.000,0.875,ACAP3
chr1,-,1303161,1303281,34,0,2,0,0,0.944,1.000,1.000,0.944,ACAP3
chr1,-,1312786,1312949,57,0,3,0,0,0.950,1.000,1.000,0.950,CPSF3L
chr1,-,1339361,1339439,39,0,14,0,0,0.736,1.000,1.000,0.736,DVL1
chr1,-,1420796,1421005,15,0,3,0,0,0.833,1.000,1.000,0.833,ANKRD65
chr1,-,1543868,1543987,85,0,2,0,0,0.977,1.000,1.000,0.977,SSU72
chr1,-,1757180,1757310,86,0,1,0,0,0.989,1.000,1.000,0.989,NADK
chr1,-,1787321,1787437,157,0,7,0,0,0.957,1.000,1.000,0.957,GNB1
chr1,-,1790394,1790596,153,0,1,0,0,0.994,1.000,1.000,0.994,GNB1
chr1,-,1793244,1793311,228,0,7,0,0,0.970,1.000,1.000,0.970,GNB1
chr1,-,1825396,1825499,221,0,1,0,0,0.995,1.000,1.000,0.995,GNB1
chr1,-,1985385,1985490,2,0,1,0,0,0.667,1.000,1.000,0.667,CFAP74
chr1,+,2025333,2025401,116,0,1,0,0,0.991,1.000,1.000,0.991,GABRD
chr1,+,2055440,2055562,45,0,1,0,0,0.978,1.000,1.000,0.978,PRKCZ
chr1,+,2172054,2172190,43,0,1,0,0,0.977,1.000,1.000,0.977,PRKCZ
chr1,+,2174753,2174833,35,0,1,0,0,0.972,1.000,1.000,0.972,PRKCZ
chr1,-,2201049,2201225,2,0,1,0,0,0.667,1.000,1.000,0.667,FAAP20
chr1,-,2203563,2203630,2,0,1,0,0,0.667,1.000,1.000,0.667,FAAP20
chr1,-,2408451,2408858,48,0,4,0,0,0.923,1.000,1.000,0.923,PEX10
chr1,-,2410370,2410451,132,0,1,0,0,0.992,1.000,1.000,0.992,PEX10
chr1,+,2502111,2502409,7,0,1,0,0,0.875,1.000,1.000,0.875,PLCH2
chr1,-,2512887,2513039,21,0,1,0,0,0.955,1.000,1.000,0.955,PANK4
chr1,-,2521100,2521315,169,0,3,0,0,0.983,1.000,1.000,0.983,PANK4
chr1,+,2562864,2562896,66,0,1,0,0,0.985,1.000,1.000,0.985,TNFRSF14
chr1,-,2609338,2609419,8,0,1,0,0,0.889,1.000,1.000,0.889,MMEL1
chr1,-,3740232,3740387,6,0,1,0,0,0.857,1.000,1.000,0.857,TP73-AS1
chr1,-,3892882,3892996,36,0,4,0,0,0.900,1.000,1.000,0.900,C1orf174
chr1,+,6085203,6085248,746,0,1,0,0,0.999,1.000,1.000,0.999,KCNAB2
chr1,+,6089007,6089051,265,0,3,0,0,0.989,1.000,1.000,0.989,KCNAB2
chr1,-,6125099,6125233,10,0,2,0,0,0.833,1.000,1.000,0.833,CHD5
chr1,-,6128837,6129069,16,0,1,0,0,0.941,1.000,1.000,0.941,CHD5
chr1,-,6130203,6130328,19,0,2,0,0,0.905,1.000,1.000,0.905,CHD5
chr1,+,6212681,6212733,3,0,1,0,0,0.750,1.000,1.000,0.750,RNF207
chr1,-,6333476,6333568,173,0,2,0,0,0.989,1.000,1.000,0.989,ACOT7
chr1,-,6475461,6475522,72,0,2,0,0,0.973,1.000,1.000,0.973,PLEKHG5
chr1,-,6645788,6645978,49,0,1,0,0,0.980,1.000,1.000,0.980,DNAJC11
chr1,+,7810437,7810588,7,0,4,0,0,0.636,1.000,1.000,0.636,PER3
chr1,-,8360111,8361490,5,0,1,0,0,0.833,1.000,1.000,0.833,RERE
chr1,-,8862886,8862945,796,0,1,0,0,0.999,1.000,1.000,0.999,ENO1
chr1,-,9731205,9731390,58,0,3,0,0,0.951,1.000,1.000,0.951,CLSTN1
chr1,-,9733400,9733546,86,0,1,0,0,0.989,1.000,1.000,0.989,CLSTN1
chr1,-,9942623,9942782,47,0,1,0,0,0.979,1.000,1.000,0.979,LZIC
chr1,+,10149183,10149282,22,0,1,0,0,0.957,1.000,1.000,0.957,UBE4B
chr1,+,10272240,10272306,18,0,1,0,0,0.947,1.000,1.000,0.947,KIF1B
chr1,-,10463057,10463209,41,0,1,0,0,0.976,1.000,1.000,0.976,DFFA
chr1,+,10495273,10495321,138,0,2,0,0,0.986,1.000,1.000,0.986,PEX14
chr1,-,10949701,10949814,4,0,3,0,0,0.571,1.000,1.000,0.571,C1orf127
chr1,-,10957615,10957753,7,0,2,0,0,0.778,1.000,1.000,0.778,C1orf127
chr1,+,11022123,11022177,2,0,3,0,0,0.400,1.000,1.000,0.400,TARDBP
chr1,-,11077364,11077443,40,0,1,0,0,0.976,1.000,1.000,0.976,EXOSC10
chr1,-,11082687,11082878,50,0,1,0,0,0.980,1.000,1.000,0.980,EXOSC10
chr1,-,11091492,11091597,640,0,4,0,0,0.994,1.000,1.000,0.994,EXOSC10
chr1,-,11139532,11139658,19,0,1,0,0,0.950,1.000,1.000,0.950,MTOR
chr1,+,11534380,11534540,8,0,1,0,0,0.889,1.000,1.000,0.889,PTCHD2
chr1,-,11649944,11650074,49,0,1,0,0,0.980,1.000,1.000,0.980,FBXO2
chr1,-,11676847,11676948,118,0,4,0,0,0.967,1.000,1.000,0.967,MAD2L2
chr1,+,11748414,11748610,80,0,24,0,0,0.769,1.000,1.000,0.769,AGTRAP
chr1,+,11785147,11785289,3,0,1,0,0,0.750,1.000,1.000,0.750,C1orf167
chr1,+,11822694,11822801,37,0,1,0,0,0.974,1.000,1.000,0.974,CLCN6
chr1,+,11826155,11826214,14,0,2,0,0,0.875,1.000,1.000,0.875,CLCN6
chr1,+,11829195,11829322,17,0,1,0,0,0.944,1.000,1.000,0.944,CLCN6
chr1,-,11922635,11923489,2,0,1,0,0,0.667,1.000,1.000,0.667,KIAA2013
chr1,+,12455997,12456130,20,0,1,0,0,0.952,1.000,1.000,0.952,VPS13D
chr1,+,13614299,13614411,47,0,17,0,0,0.734,1.000,1.000,0.734,PDPN
chr1,+,15214894,15215431,10,0,1,0,0,0.909,1.000,1.000,0.909,TMEM51
chr1,+,15341735,15341893,3,0,1,0,0,0.750,1.000,1.000,0.750,FHAD1
chr1,+,15463385,15463522,47,0,1,0,0,0.979,1.000,1.000,0.979,CELA2A
chr1,+,15566081,15566180,17,0,2,0,0,0.895,1.000,1.000,0.895,DNAJC16
chr1,+,15728668,15728733,85,0,1,0,0,0.988,1.000,1.000,0.988,PLEKHM2
chr1,+,15758173,15758329,19,0,15,0,0,0.559,1.000,1.000,0.559,FBLIM1
chr1,+,16026107,16026247,18,0,2,0,0,0.900,1.000,1.000,0.900,CLCNKA
chr1,+,16029125,16029299,25,0,1,0,0,0.962,1.000,1.000,0.962,CLCNKA
chr1,+,16031709,16031843,9,0,1,0,0,0.900,1.000,1.000,0.900,CLCNKA
chr1,+,16053638,16053690,6,0,5,0,0,0.545,1.000,1.000,0.545,CLCNKB
chr1,-,16133480,16133606,12,0,2,0,0,0.857,1.000,1.000,0.857,EPHA2
chr1,-,16205086,16205176,29,0,1,0,0,0.967,1.000,1.000,0.967,ARHGEF19
chr1,+,16447869,16447974,254,0,1,0,0,0.996,1.000,1.000,0.996,NECAP2
chr1,+,16458841,16459049,1,0,1,0,0,0.500,1.000,1.000,0.500,NECAP2
chr1,+,16646786,16647112,1,0,1,0,0,0.500,1.000,1.000,0.500,onlyEST
chr1,+,16646979,16647112,5,0,5,0,0,0.500,1.000,1.000,0.500,onlyEST
chr1,-,17033059,17033145,203,0,1,0,0,0.995,1.000,1.000,0.995,SDHB
chr1,-,18890011,18890105,498,0,2,0,0,0.996,1.000,1.000,0.996,ALDH4A1
chr1,-,19093948,19094139,73,0,1,0,0,0.986,1.000,1.000,0.986,UBR4
chr1,-,19242344,19242473,199,0,1,0,0,0.995,1.000,1.000,0.995,EMC1
chr1,-,19285887,19285992,24,0,1,0,0,0.960,1.000,1.000,0.960,AKR7A3
chr1,-,20502068,20502189,431,0,1,0,0,0.998,1.000,1.000,0.998,MUL1
chr1,-,20653626,20653774,84,0,2,0,0,0.977,1.000,1.000,0.977,DDOST
chr1,-,20655439,20655534,340,0,49,0,0,0.874,1.000,1.000,0.874,DDOST
chr1,-,20656100,20656187,841,0,6,0,0,0.993,1.000,1.000,0.993,DDOST
chr1,-,20724395,20724635,3,0,2,0,0,0.600,1.000,1.000,0.600,SH2D5
chr1,-,20745542,20745656,37,0,2,0,0,0.949,1.000,1.000,0.949,HP1BP3
chr1,-,20899696,20899943,16,0,1,0,0,0.941,1.000,1.000,0.941,EIF4G3
chr1,-,21736445,21736625,27,0,1,0,0,0.964,1.000,1.000,0.964,USP48
chr1,-,21878432,21878491,5,0,1,0,0,0.833,1.000,1.000,0.833,HSPG2
chr1,+,22491399,22491533,6,0,1,0,0,0.857,1.000,1.000,0.857,ZBTB40
chr1,+,22660811,22661056,3,0,1,0,0,0.750,1.000,1.000,0.750,onlyEST
chr1,+,23081445,23081573,50,0,1,0,0,0.980,1.000,1.000,0.980,KDM1A
chr1,-,23091189,23094380,1,0,1,0,0,0.500,1.000,1.000,0.500,LUZP1
chr1,-,23433076,23433272,25,0,1,0,0,0.962,1.000,1.000,0.962,ASAP3
chr1,-,23433424,23433532,31,0,2,0,0,0.939,1.000,1.000,0.939,ASAP3
