chromo	strand	start	end	count	alt3	alt5	alt3+5	skip	constitLevel	inclLevel	3usageLevel	5usageLevel	alt3singleCount	alt3singleLoc	alt5singleCount	alt5singleLoc	alt3and5singleCount	alt3and5singleLoc	OnlyESTexonCount	OnlyESTexons	genename
chr1	-	874111	875155	1	0	1	0	0	0.500	1.000	1.000	0.500	0	#	1	875039	0	#	0	#	FAM41C
chr1	-	923274	923461	1	0	1	0	0	0.500	1.000	1.000	0.500	0	#	1	923396	0	#	0	#	onlyEST
chr1	-	945056	945146	45	0	29	0	0	0.608	1.000	1.000	0.608	0	#	29	945041	0	#	2	chr1-945045-945146	NOC2L
chr1	-	954003	954082	81	0	1	0	0	0.988	1.000	1.000	0.988	0	#	1	953957	0	#	5	chr1-954027-954082,chr1-953988-954082,chr1-954003-954074,chr1-954000-954082,chr1-954010-954082	NOC2L
chr1	-	956094	956215	123	0	1	0	0	0.992	1.000	1.000	0.992	0	#	1	956161	0	#	6	chr1-956097-956217,chr1-956097-956215,chr1-956094-956208,chr1-956099-956217,chr1-956094-956136,chr1-956094-956209	NOC2L
chr1	+	961628	961750	10	0	1	0	0	0.909	1.000	1.000	0.909	0	#	1	961729	0	#	0	#	KLHL17
chr1	+	964106	964167	6	0	6	0	0	0.500	1.000	1.000	0.500	0	#	6	964180	0	#	0	#	KLHL17
chr1	-	999525	999613	19	0	1	0	0	0.950	1.000	1.000	0.950	0	#	1	999532	0	#	0	#	HES4
chr1	+	1049235	1049451	14	0	1	0	0	0.933	1.000	1.000	0.933	0	#	1	1049449	0	#	0	#	AGRN
chr1	+	1049902	1050037	22	0	1	0	0	0.957	1.000	1.000	0.957	0	#	1	1050046	0	#	5	chr1+1049902-1050030,chr1+1049902-1050031,chr1+1049902-1050032,chr1+1049902-1050056,chr1+1049905-1050037	AGRN
chr1	-	1087501	1087597	93	0	2	0	0	0.979	1.000	1.000	0.979	0	#	2	1087497	0	#	2	chr1-1087501-1087592,chr1-1087565-1087597	C1orf159
chr1	-	1298012	1298113	14	0	2	0	0	0.875	1.000	1.000	0.875	0	#	2	1298024	0	#	1	chr1-1298016-1298113	ACAP3
chr1	-	1303161	1303281	34	0	2	0	0	0.944	1.000	1.000	0.944	0	#	2	1303131	0	#	1	chr1-1303161-1304904	ACAP3
chr1	-	1312786	1312949	57	0	3	0	0	0.950	1.000	1.000	0.950	0	#	3	1312877	0	#	2	chr1-1312790-1312949,chr1-1312793-1312947	CPSF3L
chr1	-	1339361	1339439	39	0	14	0	0	0.736	1.000	1.000	0.736	0	#	14	1339286	0	#	1	chr1-1339361-1339425	DVL1
chr1	-	1420796	1421005	15	0	3	0	0	0.833	1.000	1.000	0.833	0	#	3	1420815	0	#	1	chr1-1420799-1421005	ANKRD65
chr1	-	1543868	1543987	85	0	2	0	0	0.977	1.000	1.000	0.977	0	#	2	1543872	0	#	3	chr1-1543919-1543987,chr1-1543880-1543970,chr1-1543868-1543990	SSU72
chr1	-	1757180	1757310	86	0	1	0	0	0.989	1.000	1.000	0.989	0	#	1	1757106	0	#	1	chr1-1757180-1757306	NADK
chr1	-	1787321	1787437	157	0	7	0	0	0.957	1.000	1.000	0.957	0	#	7	1787325	0	#	5	chr1-1787398-1787437,chr1-1787326-1787437,chr1-1787321-1787336,chr1-1787321-1787440	GNB1
chr1	-	1790394	1790596	153	0	1	0	0	0.994	1.000	1.000	0.994	0	#	1	1790343	0	#	6	chr1-1790398-1790596,chr1-1790397-1790596,chr1-1790394-1790584	GNB1
chr1	-	1793244	1793311	228	0	7	0	0	0.970	1.000	1.000	0.970	0	#	7	1793247	0	#	3	chr1-1793244-1793314,chr1-1793250-1793311,chr1-1793247-1793315	GNB1
chr1	-	1825396	1825499	221	0	1	0	0	0.995	1.000	1.000	0.995	0	#	1	1825482	0	#	4	chr1-1825483-1825499,chr1-1825451-1825499,chr1-1825399-1825499,chr1-1825399-1825485	GNB1
chr1	-	1985385	1985490	2	0	1	0	0	0.667	1.000	1.000	0.667	0	#	1	1985338	0	#	0	#	CFAP74
chr1	+	2025333	2025401	116	0	1	0	0	0.991	1.000	1.000	0.991	0	#	1	2025432	0	#	0	#	GABRD
chr1	+	2055440	2055562	45	0	1	0	0	0.978	1.000	1.000	0.978	0	#	1	2055545	0	#	0	#	PRKCZ
chr1	+	2172054	2172190	43	0	1	0	0	0.977	1.000	1.000	0.977	0	#	1	2172194	0	#	4	chr1+2172127-2172189,chr1+2172050-2172190,chr1+2172064-2172186,chr1+2172054-2172180	PRKCZ
chr1	+	2174753	2174833	35	0	1	0	0	0.972	1.000	1.000	0.972	0	#	1	2174837	0	#	0	#	PRKCZ
chr1	-	2201049	2201225	2	0	1	0	0	0.667	1.000	1.000	0.667	0	#	1	2198753	0	#	0	#	FAAP20
chr1	-	2203563	2203630	2	0	1	0	0	0.667	1.000	1.000	0.667	0	#	1	2203435	0	#	0	#	FAAP20
chr1	-	2408451	2408858	48	0	4	0	0	0.923	1.000	1.000	0.923	0	#	4	2408455	0	#	1	chr1-2408451-2408793	PEX10
chr1	-	2410370	2410451	132	0	1	0	0	0.992	1.000	1.000	0.992	0	#	1	2410260	0	#	1	chr1-2410370-2410448	PEX10
chr1	+	2502111	2502409	7	0	1	0	0	0.875	1.000	1.000	0.875	0	#	1	2502910	0	#	0	#	PLCH2
chr1	-	2512887	2513039	21	0	1	0	0	0.955	1.000	1.000	0.955	0	#	1	2512846	0	#	0	#	PANK4
chr1	-	2521100	2521315	169	0	3	0	0	0.983	1.000	1.000	0.983	0	#	3	2521144	0	#	1	chr1-2521264-2521315	PANK4
chr1	+	2562864	2562896	66	0	1	0	0	0.985	1.000	1.000	0.985	0	#	1	2562890	0	#	1	chr1+2562863-2562893	TNFRSF14
chr1	-	2609338	2609419	8	0	1	0	0	0.889	1.000	1.000	0.889	0	#	1	2609393	0	#	0	#	MMEL1
chr1	-	3740232	3740387	6	0	1	0	0	0.857	1.000	1.000	0.857	0	#	1	3739823	0	#	0	#	TP73-AS1
chr1	-	3892882	3892996	36	0	4	0	0	0.900	1.000	1.000	0.900	0	#	1,3	3892291,3892740	0	#	1	chr1-3892308-3892996	C1orf174
chr1	+	6085203	6085248	746	0	1	0	0	0.999	1.000	1.000	0.999	0	#	1	6085213	0	#	2	chr1+6085198-6085248,chr1+6085199-6085248	KCNAB2
chr1	+	6089007	6089051	265	0	3	0	0	0.989	1.000	1.000	0.989	0	#	3	6089028	0	#	1	chr1+6089011-6089051	KCNAB2
chr1	-	6125099	6125233	10	0	2	0	0	0.833	1.000	1.000	0.833	0	#	2	6125137	0	#	0	#	CHD5
chr1	-	6128837	6129069	16	0	1	0	0	0.941	1.000	1.000	0.941	0	#	1	6129039	0	#	1	chr1-6128844-6129024	CHD5
chr1	-	6130203	6130328	19	0	2	0	0	0.905	1.000	1.000	0.905	0	#	2	6130147	0	#	0	#	CHD5
chr1	+	6212681	6212733	3	0	1	0	0	0.750	1.000	1.000	0.750	0	#	1	6212903	0	#	0	#	RNF207
chr1	-	6333476	6333568	173	0	2	0	0	0.989	1.000	1.000	0.989	0	#	2	6333479	0	#	4	chr1-6333483-6333568,chr1-6333480-6333568	ACOT7
chr1	-	6475461	6475522	72	0	2	0	0	0.973	1.000	1.000	0.973	0	#	2	6475369	0	#	0	#	PLEKHG5
chr1	-	6645788	6645978	49	0	1	0	0	0.980	1.000	1.000	0.980	0	#	1	6645870	0	#	3	chr1-6645880-6645978,chr1-6645791-6645978	DNAJC11
chr1	+	7810437	7810588	7	0	4	0	0	0.636	1.000	1.000	0.636	0	#	4	7810567	0	#	0	#	PER3
chr1	-	8360111	8361490	5	0	1	0	0	0.833	1.000	1.000	0.833	0	#	1	8361459	0	#	4	chr1-8360114-8361490,chr1-8360542-8361490,chr1-8360111-8360454,chr1-8360111-8360237	RERE
chr1	-	8862886	8862945	796	0	1	0	0	0.999	1.000	1.000	0.999	0	#	1	8862904	0	#	13	chr1-8862898-8862947,chr1-8862897-8862945,chr1-8862898-8862945,chr1-8862891-8862945,chr1-8862894-8862945,chr1-8862889-8862945,chr1-8862893-8862945,chr1-8862887-8862939,chr1-8862890-8862945,chr1-8862887-8862941,chr1-8862913-8862945	ENO1
chr1	-	9731205	9731390	58	0	3	0	0	0.951	1.000	1.000	0.951	0	#	3	9731121	0	#	0	#	CLSTN1
chr1	-	9733400	9733546	86	0	1	0	0	0.989	1.000	1.000	0.989	0	#	1	9733396	0	#	0	#	CLSTN1
chr1	-	9942623	9942782	47	0	1	0	0	0.979	1.000	1.000	0.979	0	#	1	9942680	0	#	3	chr1-9942623-9942779,chr1-9942623-9942785,chr1-9942626-9942782	LZIC
chr1	+	10149183	10149282	22	0	1	0	0	0.957	1.000	1.000	0.957	0	#	1	10149277	0	#	0	#	UBE4B
chr1	+	10272240	10272306	18	0	1	0	0	0.947	1.000	1.000	0.947	0	#	1	10272303	0	#	0	#	KIF1B
chr1	-	10463057	10463209	41	0	1	0	0	0.976	1.000	1.000	0.976	0	#	1	10462987	0	#	2	chr1-10463068-10463209,chr1-10463061-10463209	DFFA
chr1	+	10495273	10495321	138	0	2	0	0	0.986	1.000	1.000	0.986	0	#	2	10495292	0	#	0	#	PEX14
chr1	-	10949701	10949814	4	0	3	0	0	0.571	1.000	1.000	0.571	0	#	3	10949623	0	#	0	#	C1orf127
chr1	-	10957615	10957753	7	0	2	0	0	0.778	1.000	1.000	0.778	0	#	2	10957584	0	#	0	#	C1orf127
chr1	+	11022123	11022177	2	0	3	0	0	0.400	1.000	1.000	0.400	0	#	0,0,2,1	11022250,11022268,11022241,11022238	0	#	2	chr1+11022123-11022168,chr1+11022123-11022284	TARDBP
chr1	-	11077364	11077443	40	0	1	0	0	0.976	1.000	1.000	0.976	0	#	1	11077329	0	#	1	chr1-11077369-11077443	EXOSC10
chr1	-	11082687	11082878	50	0	1	0	0	0.980	1.000	1.000	0.980	0	#	1	11082533	0	#	0	#	EXOSC10
chr1	-	11091492	11091597	640	0	4	0	0	0.994	1.000	1.000	0.994	0	#	4	11091497	0	#	11	chr1-11091492-11091629,chr1-11091496-11091597,chr1-11091495-11091597,chr1-11091492-11091594,chr1-11091492-11091545	EXOSC10
chr1	-	11139532	11139658	19	0	1	0	0	0.950	1.000	1.000	0.950	0	#	1	11139528	0	#	0	#	MTOR
chr1	+	11534380	11534540	8	0	1	0	0	0.889	1.000	1.000	0.889	0	#	1	11534536	0	#	0	#	PTCHD2
chr1	-	11649944	11650074	49	0	1	0	0	0.980	1.000	1.000	0.980	0	#	1	11649965	0	#	3	chr1-11649954-11650074,chr1-11649957-11650074,chr1-11650031-11650076	FBXO2
chr1	-	11676847	11676948	118	0	4	0	0	0.967	1.000	1.000	0.967	0	#	4	11676808	0	#	0	#	MAD2L2
chr1	+	11748414	11748610	80	0	24	0	0	0.769	1.000	1.000	0.769	0	#	24	11748589	0	#	0	#	AGTRAP
chr1	+	11785147	11785289	3	0	1	0	0	0.750	1.000	1.000	0.750	0	#	1	11785382	0	#	0	#	C1orf167
chr1	+	11822694	11822801	37	0	1	0	0	0.974	1.000	1.000	0.974	0	#	1	11822934	0	#	1	chr1+11822694-11822744	CLCN6
chr1	+	11826155	11826214	14	0	2	0	0	0.875	1.000	1.000	0.875	0	#	2	11826224	0	#	0	#	CLCN6
chr1	+	11829195	11829322	17	0	1	0	0	0.944	1.000	1.000	0.944	0	#	1	11829299	0	#	0	#	CLCN6
chr1	-	11922635	11923489	2	0	1	0	0	0.667	1.000	1.000	0.667	0	#	1	11923190	0	#	1	chr1-11923387-11923489	KIAA2013
chr1	+	12455997	12456130	20	0	1	0	0	0.952	1.000	1.000	0.952	0	#	1	12456071	0	#	0	#	VPS13D
chr1	+	13614299	13614411	47	0	17	0	0	0.734	1.000	1.000	0.734	0	#	17	13614405	0	#	2	chr1+13614296-13614411,chr1+13614387-13614411	PDPN
chr1	+	15214894	15215431	10	0	1	0	0	0.909	1.000	1.000	0.909	0	#	1	15215243	0	#	1	chr1+15214894-15215277	TMEM51
chr1	+	15341735	15341893	3	0	1	0	0	0.750	1.000	1.000	0.750	0	#	1	15341888	0	#	0	#	FHAD1
chr1	+	15463385	15463522	47	0	1	0	0	0.979	1.000	1.000	0.979	0	#	1	15463419	0	#	1	chr1+15463401-15463522	CELA2A
chr1	+	15566081	15566180	17	0	2	0	0	0.895	1.000	1.000	0.895	0	#	0,2	15566299,15566410	0	#	2	chr1+15566081-15566596	DNAJC16
chr1	+	15728668	15728733	85	0	1	0	0	0.988	1.000	1.000	0.988	0	#	1	15728727	0	#	0	#	PLEKHM2
chr1	+	15758173	15758329	19	0	15	0	0	0.559	1.000	1.000	0.559	0	#	15	15758355	0	#	1	chr1+15758173-15758311	FBLIM1
