chromo	strand	start	end	count	alt3	alt5	alt3+5	skip	constitLevel	inclLevel	3usageLevel	5usageLevel	alt3singleCount	alt3singleLoc	alt5singleCount	alt5singleLoc	alt3and5singleCount	alt3and5singleLoc	OnlyESTexonCount	OnlyESTexons	genename
chr1	-	918021	918115	1	1	0	0	0	0.500	1.000	0.500	1.000	1,0	918175,918110	0	#	0	#	0	#	RP11-54O7.3
chr1	+	962354	962471	7	1	0	0	0	0.875	1.000	0.875	1.000	1	962081	0	#	0	#	0	#	KLHL17
chr1	+	962703	962917	8	1	0	0	0	0.889	1.000	0.889	1.000	1	962615	0	#	0	#	0	#	KLHL17
chr1	+	963108	963253	4	1	0	0	0	0.800	1.000	0.800	1.000	1	963031	0	#	0	#	0	#	KLHL17
chr1	+	971076	971208	4	4	0	0	0	0.500	1.000	0.500	1.000	4	971112	0	#	0	#	0	#	PLEKHN1
chr1	-	978880	980657	1	1	0	0	0	0.500	1.000	0.500	1.000	1	981047	0	#	0	#	0	#	PERM1
chr1	+	1047775	1047895	7	1	0	0	0	0.875	1.000	0.875	1.000	1	1047781	0	#	0	#	1	chr1+1047864-1047895	AGRN
chr1	+	1060276	1060393	3	3	0	0	0	0.500	1.000	0.500	1.000	3	1060279	0	#	0	#	0	#	onlyEST
chr1	+	1280410	1280666	1	1	0	0	0	0.500	1.000	0.500	1.000	1	1280435	0	#	0	#	1	chr1+1280492-1280666	onlyEST
chr1	+	1281225	1281297	3	1	0	0	0	0.750	1.000	0.750	1.000	1	1281201	0	#	0	#	0	#	SCNN1D
chr1	-	1390765	1391553	1	1	0	0	0	0.500	1.000	0.500	1.000	1	1391575	0	#	0	#	2	chr1-1390765-1390860,chr1-1390765-1391035	CCNL2
chr1	-	1399018	1399048	1	1	0	0	0	0.500	1.000	0.500	1.000	1	1399324	0	#	0	#	0	#	onlyEST
chr1	-	1779904	1780029	2	1	0	0	0	0.667	1.000	0.667	1.000	1	1779971	0	#	0	#	0	#	NADK
chr1	-	1890819	1890888	4	3	0	0	0	0.571	1.000	0.571	1.000	1,2	1890871,1890860	0	#	0	#	22	chr1-1890819-1890901,chr1-1890819-1890956,chr1-1890819-1890895,chr1-1890819-1890866,chr1-1890819-1890830,chr1-1890819-1891089,chr1-1890819-1890912,chr1-1890819-1890920,chr1-1890819-1890885,chr1-1890819-1890919,chr1-1890819-1890872,chr1-1890818-1890919,chr1-1890819-1890896,chr1-1890819-1890854,chr1-1890819-1890897,chr1-1890819-1890988,chr1-1890819-1890913	onlyEST
chr1	+	2588921	2589040	29	31	0	0	0	0.483	1.000	0.483	1.000	29,1,1	2588953,2588980,2588956	0	#	0	#	3	chr1+2588950-2589040,chr1+2588921-2589029,chr1+2588953-2589044	FAM213B
chr1	-	2593813	2593933	6	1	0	0	0	0.857	1.000	0.857	1.000	1	2593962	0	#	0	#	1	chr1-2593903-2593934	MMEL1
chr1	-	2595275	2595359	8	1	0	0	0	0.889	1.000	0.889	1.000	1	2595287	0	#	0	#	0	#	MMEL1
chr1	+	3385151	3385286	8	1	0	0	0	0.889	1.000	0.889	1.000	1	3385148	0	#	0	#	1	chr1+3385151-3385289	PRDM16
chr1	+	3414559	3414647	6	3	0	0	0	0.667	1.000	0.667	1.000	3	3414562	0	#	0	#	0	#	PRDM16
chr1	-	3742803	3742911	7	1	0	0	0	0.875	1.000	0.875	1.000	1	3742957	0	#	0	#	0	#	TP73-AS1
chr1	-	3837291	3837519	6	1	0	0	0	0.857	1.000	0.857	1.000	1	3837345	0	#	0	#	1	chr1-3837368-3837519	CEP104
chr1	-	5864337	5864517	7	1	0	0	0	0.875	1.000	0.875	1.000	1	5864513	0	#	0	#	0	#	NPHP4
chr1	-	5905631	5905780	7	4	0	0	0	0.636	1.000	0.636	1.000	4	5905783	0	#	0	#	1	chr1-5905638-5905783	NPHP4
chr1	+	6212230	6212416	7	1	0	0	0	0.875	1.000	0.875	1.000	1	6212217	0	#	0	#	0	#	RNF207
chr1	+	6440625	6440808	3	1	0	0	0	0.750	1.000	0.750	1.000	1	6440658	0	#	0	#	0	#	ESPN
